"  [ 145.093407346737507, -37.893482184816342 ] "
"  [ 143.790979162649307, -38.073002063639741 ] "
"  [ 146.01343397566194, -36.026082485283816 ] "
"  [ 146.01343397566194, -36.026082485283816 ] "
"  [ 145.091438479974556, -37.104500278487528 ] "
"  [ 145.73204901923657, -37.207829715476599 ] "
"  [ 143.773430009204503, -38.301750468258106 ] "
"  [ 142.010959841662839, -36.698429992537747 ] "
"  [ 149.534331660649514, -37.503881566257398 ] "
"  [ 142.024252515786486, -37.87618025544753 ] "
"  [ 144.556490766295099, -37.481209329235604 ] "
"  [ 145.000799425930893, -37.6937232750441 ] "
"  [ 144.939179399500034, -37.714145793715652 ] "
"  [ 144.495029735382275, -37.383699577097502 ] "
"  [ 142.034392546437317, -36.234400012806837 ] "
"  [ 142.034392546437317, -36.234400012806837 ] "
"  [ 145.060539606312659, -37.700202644980756 ] "
"  [ 145.05233995053544, -37.596020219848505 ] "
"  [ 144.990046521618098, -37.87000959293195 ] "
"  [ 144.855590497268395, -37.854300049115473 ] "
"  [ 144.77150827551668, -37.867855788353623 ] "
"  [ 142.862549350423336, -36.128649923990338 ] "
"  [ 144.898978208865657, -37.769777750140364 ] "
"  [ 144.670249989805683, -37.34540964850305 ] "
"  [ 144.906179952039963, -38.367881006694773 ] "
"  [ 144.906179952039963, -38.367881006694773 ] "
"  [ 145.137946645992827, -38.020667975614607 ] "
"  [ 144.356641793206165, -38.090030219261472 ] "
"  [ 144.92781048682798, -37.597506961951616 ] "
"  [ 145.318314626198742, -36.691530000259164 ] "
"  [ 147.864839715205477, -37.820922282656802 ] "
"  [ 145.352918370725263, -37.664619795605844 ] "
"  [ 146.692713279153935, -38.27539872914334 ] "
"  [ 146.013649166891383, -36.541718737929784 ] "
"  [ 148.026810264024419, -37.86169024707776 ] "
"  [ 145.316296586926342, -38.087274193251652 ] "
"  [ 143.14625942072044, -38.210800923811142 ] "
"  [ 142.455158262853047, -38.36160334817189 ] "
"  [ 141.622442938235935, -38.221888920123654 ] "
"  [ 145.544793335498298, -38.096434329461836 ] "
"  [ 145.309294456942183, -37.893489071584703 ] "
"  [ 145.021829807156905, -37.8029799198859 ] "
"  [ 145.215834219725195, -38.233680503453442 ] "
"  [ 145.213099805098352, -38.02584997006398 ] "
"  [ 144.812931288915792, -36.122852814199859 ] "
"  [ 144.048577019654346, -38.290579628744545 ] "
"  [ 145.251717512318379, -38.006449502393366 ] "
"  [ 145.144790579995089, -37.851566994118336 ] "
"  [ 144.318587001680783, -38.321839642762811 ] "
"  [ 145.396068173049855, -36.60457146920794 ] "
"  [ 145.422751133264228, -37.687820128253605 ] "
"  [ 143.075794162853839, -37.683101164926533 ] "
"  [ 145.094540039117419, -37.703682084784234 ] "
"  [ 145.403749039460365, -37.52709900806417 ] "
"  [ 145.136168178712865, -37.900422272570104 ] "
"  [ 145.73102065679484, -36.143859715049409 ] "
"  [ 145.103558976264651, -36.298744432704858 ] "
"  [ 143.702240431105793, -36.478189591100971 ] "
"  [ 145.474971206640703, -38.072780159539811 ] "
"  [ 145.054440326668697, -37.82088827876899 ] "
"  [ 144.952939558282793, -37.600364344192506 ] "
"  [ 145.317813334638913, -36.612353508106629 ] "
"  [ 145.380240892130928, -37.778889806445676 ] "
"  [ 147.450080588797618, -37.874941696819029 ] "
"  [ 142.800880151105957, -37.103899903961164 ] "
"  [ 144.711341202819739, -37.610080389761947 ] "
"  [ 144.745788615052248, -38.350231208589136 ] "
"  [ 142.089840006976829, -36.639113516172841 ] "
"  [ 144.705302200522027, -37.619453769080465 ] "
"  [ 142.357779229079597, -36.817490928087373 ] "
"  [ 145.285438961372307, -37.865659966422655 ] "
"  [ 145.222916932299341, -37.973612804423979 ] "
"  [ 145.278924791970269, -37.274836852832074 ] "
"  [ 146.466588936088698, -38.202785567944993 ] "
"  [ 146.431100315728656, -36.244110180082075 ] "
